epoch,train_loss,train_grad_norm,lr,seconds,val_accuracy_ema,val_accuracy_raw,val_loss_ema,best_accuracy
1,0.21807324697386543,0.368486157520762,1.9048916835743906e-05,63.38161119999131,0.4580703336339044,0.5066626590521992,0.11680612367479969,0.4580703336339044
2,0.1524723462732333,0.8230902999077203,3.950556694634746e-05,60.519925700034946,0.8038272718164513,0.7987175633704038,0.06161644112875999,0.8038272718164513
3,0.12908693971498958,0.7449364256858826,7.136721109059446e-05,60.37401149998186,0.8943993587816852,0.8714557659553152,0.04015021247166142,0.8943993587816852
4,0.11719491383939419,0.49603428001673716,0.00011151454260427857,60.0217607000377,0.9244564672878469,0.9037170624185953,0.03189387174867942,0.9244564672878469
5,0.10967836500901096,0.3563746442659846,0.0001560170725843859,59.80265349999536,0.9364793106903115,0.9241558962027853,0.0284952243224388,0.9364793106903115
6,0.1043522877597584,0.2832025112464743,0.00020051793113077778,59.789794800046366,0.9421901613064824,0.9250576094579701,0.026070233773898832,0.9421901613064824
7,0.09848604667299199,0.2451184931397438,0.0002406604119793888,59.824724500009324,0.9495040577096483,0.9415890191363591,0.024220741735658392,0.9495040577096483
8,0.09550978916995931,0.21830970298569158,0.0002725145011151868,59.97433209995506,0.9543131950706342,0.9401863540727382,0.023018690010883767,0.9543131950706342
9,0.09242561937503095,0.202954958474861,0.00029296163152155234,59.691490899946075,0.9545135757940086,0.9435928263701032,0.02183054780346629,0.9545135757940086
10,0.08965766330653767,0.191641130115626,0.0002999999999479474,59.66881669999566,0.9573189059212504,0.9504057709648331,0.02013138510688412,0.9573189059212504
11,0.08573911270442999,0.18927032384107698,0.00029990848645494614,59.776999499998055,0.9600240456868049,0.94980462879471,0.01887832256533223,0.9600240456868049
12,0.08393107608241855,0.18488702431602297,0.0002996343332938392,59.82108000002336,0.9609257589419897,0.9545135757940086,0.017479470972329686,0.9609257589419897
13,0.0819211955031134,0.18293853742896385,0.00029917787447802344,60.200610300002154,0.9602244264101794,0.9572187155595632,0.016635130521317973,0.9609257589419897
14,0.07917034649202284,0.18488292425870895,0.0002985396661322538,56.8820353000192,0.9611261396653642,0.9557158601342551,0.016650484179501816,0.9611261396653642
15,0.08019332457404092,0.17703248835397217,0.000297720485815091,60.32001880003372,0.9614267107504259,0.9538122432621982,0.016181495050732568,0.9614267107504259
16,0.078577020207666,0.17469734489355448,0.0002967213315715667,60.65285210002912,0.9634305179841699,0.9577196673679992,0.015417031322263183,0.9634305179841699
17,0.07700339668623682,0.17287159029605254,0.0002955434207172185,59.908463300031144,0.9642320408776676,0.958621380623184,0.014999907555978817,0.9642320408776676
18,0.07686342718888003,0.16834241885059284,0.0002941881883549793,59.999455599987414,0.9643322312393547,0.958120428814748,0.014394454820016835,0.9643322312393547
19,0.07619925330691743,0.1662736452694209,0.0002926572856267249,60.37698180001462,0.9647329926861036,0.9578198577296864,0.014261477780914201,0.9647329926861036
