epoch,train_loss,train_grad_norm,lr,seconds,val_accuracy_ema,val_accuracy_raw,val_loss_ema,best_accuracy
1,0.2276575054537575,0.25955609631988236,1.9048916835743906e-05,71.65859769999997,0.08926961226330027,0.06612563871355576,0.13576741641848852,0.08926961226330027
2,0.19057740491516184,0.5404056484238157,3.950556694634746e-05,65.62720279999985,0.35958320809538125,0.3803226129646328,0.1093246013265002,0.35958320809538125
3,0.16925538411680258,1.3730829285000854,7.136721109059446e-05,66.36772610000003,0.6348061316501352,0.6262899509067228,0.07671397355981466,0.6348061316501352
4,0.15330227950833877,1.218693166858745,0.00011151454260427857,64.30376520000027,0.76084560665264,0.7142570884680893,0.05754839961900643,0.76084560665264
5,0.14422124871105518,0.9203505226576103,0.0001560170725843859,64.33675059999996,0.8151487826871056,0.7774772066927161,0.04842437042675292,0.8151487826871056
6,0.13770885820658701,0.6734576631941885,0.00020051793113077778,63.709010600000056,0.8458070333633905,0.8009217513275223,0.042659873262834554,0.8458070333633905
7,0.1336229726559711,0.5349444676120326,0.0002406604119793888,64.26214590000018,0.8676485322112013,0.8026249874762048,0.03932191979734612,0.8676485322112013
8,0.13001112680390195,0.442172530597111,0.0002725145011151868,62.62775720000036,0.8790702334435427,0.8390942791303476,0.03701211602561711,0.8790702334435427
9,0.12640535882621443,0.3885392870880523,0.00029296163152155234,63.285164500000064,0.8851818455064623,0.8455064622783288,0.03531229265676915,0.8851818455064623
10,0.12294809407783004,0.35701945102439736,0.0002999999999479474,64.82003140000006,0.8888888888888888,0.8460074140867648,0.033536967651502554,0.8888888888888888
11,0.11999990674122324,0.3289299423289749,0.00029990848645494614,65.0630527000003,0.8960024045686805,0.8595331129145376,0.0321722212384249,0.8960024045686805
12,0.11646552198900367,0.31933735551699155,0.0002996343332938392,65.97063479999997,0.9043182045887186,0.8723574792105,0.030600514830050076,0.9043182045887186
13,0.11361461756364355,0.311224629822767,0.00029917787447802344,64.72980830000006,0.9080252479711451,0.8637411081054003,0.029676441625193586,0.9080252479711451
14,0.11124877895949022,0.3067332968509422,0.0002985396661322538,65.43511130000024,0.9117322913535718,0.8739605249974952,0.028293126364898353,0.9117322913535718
15,0.10857529618830052,0.29929965329620073,0.000297720485815091,66.60268069999984,0.9138362889490032,0.889890792505761,0.027127012762716663,0.9138362889490032
16,0.10707764651415483,0.293831795785787,0.0002967213315715667,67.62991999999986,0.9184450455866146,0.889890792505761,0.026549928139997094,0.9184450455866146
17,0.10552512096346549,0.2903334008410292,0.0002955434207172185,66.80151870000009,0.9203486624586715,0.8939985973349364,0.025996931485645865,0.9203486624586715
18,0.10347850966566013,0.284765688568916,0.0002941881883549793,66.29602010000008,0.9221520889690412,0.9005109708446047,0.025085763868988427,0.9221520889690412
19,0.10248992135502258,0.2809254739194546,0.0002926572856267249,67.27324490000001,0.9239555154794109,0.9056206792906523,0.024318160639429914,0.9239555154794109
20,0.10028721498149745,0.2809398635547116,0.00029095257770161216,66.14659979999988,0.9271616070534014,0.9138362889490032,0.024006173226640094,0.9271616070534014
21,0.0999062234078938,0.2753640905416237,0.00028907614150365773,66.29712040000004,0.9254583709047189,0.9000100190361687,0.023148652347895152,0.9271616070534014
22,0.09860187147023543,0.2729479408601545,0.00028703026318132604,65.04563710000002,0.9278629395852119,0.9047189660354674,0.022859690449262247,0.9278629395852119
23,0.09704533142582425,0.27158643594327964,0.0002848174353222093,64.43562669999983,0.9277627492235248,0.9063220118224626,0.022378218678710707,0.9278629395852119
24,0.09619473965100522,0.26803053708009,0.00028244035391619405,61.94350069999973,0.9282637010319608,0.9150385732892495,0.021986043018729983,0.9282637010319608
25,0.09550809415443888,0.2654332440641691,0.00027990191507081203,61.95254510000041,0.931770363691013,0.9229536118625388,0.021781335049875693,0.931770363691013
26,0.09393763993708593,0.2679147668098504,0.00027720521148277984,62.0106237,0.931269411882577,0.9221520889690412,0.02155223152090852,0.931770363691013
27,0.09346279450463799,0.25959178892508994,0.00027435352867002423,62.61417429999983,0.932271315499449,0.91573990582106,0.020579825130523345,0.932271315499449
28,0.09236903785253471,0.2618091992612155,0.00027135034096878436,61.9274233000001,0.9338743612864443,0.9235547540326621,0.020789689554317526,0.9338743612864443
29,0.09100626278317199,0.2598440962523784,0.00026819930730066874,61.98164439999982,0.9314697926059513,0.9159402865444344,0.020613534122783092,0.9338743612864443
30,0.09175000320065696,0.2525227732759602,0.0002649042667148223,61.87424120000014,0.9344755034565675,0.9184450455866146,0.020030315233120734,0.9344755034565675
31,0.09089662168948155,0.25106310416505023,0.00026146923371063696,61.84278769999992,0.9345756938182547,0.9302675082657048,0.019994772855159205,0.9345756938182547
32,0.08883166565928818,0.2595145355249351,0.00025789839334670184,61.85499780000009,0.9335737902013826,0.9218515178839796,0.01989070454427808,0.9345756938182547
33,0.08829707120949368,0.2522348981083564,0.00025419609614195474,61.76597010000023,0.933774170924757,0.9256587516280934,0.019263467119084596,0.9345756938182547
34,0.0878657871456641,0.2505080868388122,0.0002503668527752445,61.80400060000011,0.9348762649033163,0.9241558962027853,0.019129071921944713,0.9348762649033163
35,0.08912288967168557,0.24344303794064612,0.0002464153285897637,61.709318400000484,0.9350766456266907,0.9264602745215911,0.018847299037844035,0.9350766456266907
36,0.08913638075286487,0.23777797899718556,0.00024234633790904664,62.00475580000057,0.937180643222122,0.9277627492235248,0.01906769648388397,0.937180643222122
37,0.08766417798849771,0.24259709055131337,0.00023816483817145785,62.07839940000031,0.9374812143071837,0.9263600841599038,0.0188851772060409,0.9374812143071837
38,0.08599089951728875,0.2448809947157806,0.00023387592389031699,62.043570899999395,0.9351768359883779,0.9237551347560364,0.0185701147635527,0.9374812143071837
39,0.08555057910815725,0.2453748329349284,0.0002294848204470189,61.973021300000255,0.9383829275623685,0.9310690311592025,0.018432272557837668,0.9383829275623685
40,0.08563908743408491,0.24242675546767575,0.00022499687772471174,61.934695199999624,0.938182546838994,0.9247570383729086,0.018194617983672272,0.9383829275623685
41,0.08608629123219903,0.23977536876808922,0.00022041756359028803,61.98783959999946,0.940086163711051,0.930367698627392,0.017875999433781875,0.940086163711051
42,0.08409802734570683,0.2394056301802959,0.00021575245723263122,62.0102650000008,0.9428914938382927,0.9309688407975153,0.01782041135998106,0.9428914938382927
43,0.08409086692726837,0.23990902944555823,0.00021100724236523366,62.07668829999966,0.9384831179240557,0.9282637010319608,0.017541937765554034,0.9428914938382927
44,0.08357350844679014,0.23832276383098566,0.00020618770030146692,62.05083149999973,0.9411882576896102,0.9296663660955816,0.017916800732321363,0.9428914938382927
45,0.08411963413065335,0.23468761563863394,0.00020129970291094215,61.99626689999968,0.941088067327923,0.9274621781384631,0.017264623869187715,0.9428914938382927
46,0.08309880042975804,0.23367224265944284,0.00019634920546554143,61.95416900000055,0.9394850215409277,0.9349764552650035,0.01754223541479325,0.9428914938382927
47,0.08071833673794314,0.24002137901085727,0.00019134223938383627,61.987303599999905,0.9431920649233544,0.9357779781585012,0.017176753961709857,0.9431920649233544
48,0.08099667248860845,0.23851740537949329,0.00018628490488273333,61.97617960000025,0.9409878769662359,0.9343753130948803,0.016949017484302022,0.9431920649233544
49,0.08115945241361294,0.23731945352171951,0.0001811833635452994,61.93762939999942,0.940587115519487,0.9345756938182547,0.017269765806375334,0.9431920649233544
50,0.08109617460589363,0.23607728506034276,0.0001760438308138221,61.979467599999225,0.940587115519487,0.9360785492435628,0.016911799084854625,0.9431920649233544
51,0.07976914398793904,0.2397363203848308,0.00017087256841725033,73.05079509999996,0.9406873058811742,0.9347760745416291,0.017206667123520862,0.9431920649233544
52,0.0801429281932003,0.23469814360141755,0.0001656758767422424,65.79140290000032,0.9407874962428614,0.9355775974351267,0.0172276033652901,0.9431920649233544
53,0.07913483189664922,0.2358398844554739,0.00016046008715711528,66.07534550000037,0.9442941589019136,0.9370804528604348,0.01680562473479358,0.9442941589019136
54,0.08057410418424966,0.2323771382165405,0.00015523155429804773,66.21978320000017,0.9397855926259894,0.9329726480312593,0.016841443813534793,0.9442941589019136
55,0.07778893018668552,0.237526846438084,0.00014999664832693479,65.95554029999948,0.9423905420298567,0.9340747420098187,0.016711484468587296,0.9442941589019136
56,0.0780391204511782,0.2379695681974573,0.0001447617471703267,66.11772360000032,0.9433924456467288,0.9370804528604348,0.016501798756086938,0.9442941589019136
57,0.07688752256052674,0.2413388962284574,0.00013953322874890822,66.01081040000008,0.9444945396252881,0.9382827372006813,0.016328423664417214,0.9444945396252881
58,0.07801186937909081,0.2375320444691856,0.00013431746320698425,66.06446880000021,0.9420899709447951,0.9351768359883779,0.016588533610701204,0.9444945396252881
59,0.07826286619283118,0.229787961587591,0.00012912080515144048,66.05628070000057,0.9415890191363591,0.9338743612864443,0.01635765104361723,0.9444945396252881
60,0.0773793518936859,0.2358376600663617,0.0001239495859096339,66.09662219999973,0.9427913034766056,0.9380823564773069,0.016776673429706342,0.9444945396252881
61,0.07698630620567304,0.23364859593083273,0.0001188101058156453,66.08041250000042,0.9408876866045487,0.9391844504558662,0.016582415222710336,0.9444945396252881
62,0.07650310288482118,0.23667750012199834,0.00011370862653429305,65.74859780000043,0.9430918745616672,0.9373810239454965,0.016412228045414236,0.9444945396252881
63,0.0745152241104054,0.24137081061050578,0.00010865136343225879,65.67945469999995,0.9430918745616672,0.9416892094980462,0.01619900470117495,0.9444945396252881
64,0.07481181940098978,0.2399889910446023,0.00010364447800562071,65.79031469999973,0.9429916841999799,0.9399859733493638,0.016201513833766164,0.9444945396252881
65,0.07595715407211825,0.2327861016482677,9.869407037301955e-05,65.85519199999999,0.9421901613064824,0.9407874962428614,0.01630359001617437,0.9444945396252881
66,0.0746214482455321,0.2400616530286816,9.38061718436039e-05,65.9768180000001,0.9432922552850416,0.939585211902615,0.01647157964356637,0.9444945396252881
67,0.07368440107495156,0.24050822998274046,8.898673756880873e-05,66.03763490000074,0.9446949203486624,0.9404869251577999,0.016055089761217046,0.9446949203486624
68,0.07531294836328839,0.23888181393438915,8.424163928692091e-05,65.85392270000011,0.9424907323915439,0.9396854022643022,0.016218738516389743,0.9446949203486624
69,0.07445197145893889,0.2393109248550433,7.957665816927059e-05,65.7421019000003,0.9435928263701032,0.9384831179240557,0.016420524848973855,0.9446949203486624
70,0.07396151657093246,0.2384204956579883,7.499747777676437e-05,65.8223122999998,0.9448953010720369,0.9396854022643022,0.015990549693619925,0.9448953010720369
71,0.07452489633745742,0.23917124667819942,7.050967713534188e-05,66.00670830000035,0.9446949203486624,0.9404869251577999,0.016459916478591935,0.9448953010720369
72,0.07457425545549617,0.23656327753134493,6.611872393879199e-05,66.01853050000045,0.9427913034766056,0.9418895902214207,0.016051020448141537,0.9448953010720369
73,0.07263625965084669,0.2437980581173357,6.182996788721018e-05,65.93022540000038,0.9447951107103497,0.9397855926259894,0.01638909213580083,0.9448953010720369
74,0.07222844404432009,0.24207937468335314,5.764863416921309e-05,65.78336409999974,0.9457970143272217,0.9408876866045487,0.01644129247180972,0.9457970143272217
75,0.07312448872710174,0.23898671269135655,5.357981709585108e-05,65.88913989999946,0.9450956817954113,0.9398857829876766,0.016414295856326495,0.9457970143272217
76,0.07176852824974735,0.24112419035637153,4.962847389397466e-05,65.94954849999976,0.9450956817954113,0.9429916841999799,0.016595187950526627,0.9457970143272217
77,0.07018095401098143,0.2464479178105885,4.5799418666617745e-05,66.13368319999972,0.9448953010720369,0.9424907323915439,0.016250389757905895,0.9457970143272217
78,0.07178726266858712,0.24293104860861348,4.209731652775398e-05,65.97357509999983,0.9441939685402264,0.9426911131149184,0.016406160732642578,0.9457970143272217
79,0.07235830615854488,0.2395436599175885,3.8526677918574524e-05,65.94005209999978,0.9453962528804729,0.9446949203486624,0.016362649490878577,0.9457970143272217
80,0.07209646837610119,0.23889508891218114,3.509185311220993e-05,66.01989090000006,0.9450956817954113,0.9449954914337241,0.016234391144329494,0.9457970143272217
81,0.07058862557388701,0.2430734266143925,3.1797026913592585e-05,65.81581119999919,0.9446949203486624,0.9438933974551648,0.01657233647612114,0.9457970143272217
82,0.07293994297818193,0.23616722378528343,2.8646213560916327e-05,65.74311829999988,0.9460975854122834,0.9448953010720369,0.016147076201252584,0.9460975854122834
83,0.07177490847290686,0.24369198826405236,2.5643251834905954e-05,65.6659596999998,0.9457970143272217,0.9445947299869752,0.016569675295438752,0.9460975854122834
84,0.06984812852768403,0.24761356496023681,2.2791800381853726e-05,65.90107009999974,0.9460975854122834,0.9453962528804729,0.016243261723774383,0.9460975854122834
85,0.07083580275470355,0.24359806286557664,2.0095333256122754e-05,65.7209453000005,0.9455966336038473,0.9455966336038473,0.01637736721129097,0.9460975854122834
86,0.07114382767030653,0.24525473698973654,1.755713568754686e-05,65.7363363000004,0.9458972046889089,0.9448953010720369,0.016376918566585567,0.9460975854122834
87,0.06980933841247604,0.2470964069495786,1.5180300078883947e-05,65.68108140000004,0.9458972046889089,0.9460975854122834,0.016289904200988033,0.9460975854122834
88,0.07198441963994279,0.23739825849544327,1.2967722238199801e-05,65.81083500000022,0.9466987275824066,0.9470994890291554,0.016088309406681052,0.9466987275824066
89,0.07194442136248327,0.24122316491210236,1.0922097850771708e-05,65.73262969999996,0.9463981564973449,0.9460975854122834,0.01602391502411726,0.9466987275824066
90,0.07175701061931421,0.23983667041895523,9.045919194811518e-06,65.75785519999954,0.9460975854122834,0.9459973950505961,0.016293810313522172,0.9466987275824066
91,0.06980351009107423,0.24498626579372387,7.341472105008352e-06,65.68690889999925,0.9466987275824066,0.9464983468590321,0.016377010411451228,0.9466987275824066
92,0.07066870758977702,0.23951081088410234,5.810833187591181e-06,65.81734399999914,0.9465985372207194,0.9454964432421601,0.016344124784861264,0.9466987275824066
93,0.0706811253093886,0.24117916335193615,4.455867290303979e-06,65.79775110000082,0.9462979661356578,0.9456968239655346,0.016191168471292972,0.9466987275824066
94,0.0692033455717676,0.2477958892426401,3.2782252303761826e-06,65.79770519999875,0.9460975854122834,0.9464983468590321,0.01620385119337475,0.9466987275824066
95,0.07037651845166143,0.2421149393775553,2.27934178325591e-06,65.77702470000077,0.9466987275824066,0.9469992986674682,0.016198386221712793,0.9466987275824066
96,0.07240230426473437,0.23748152877081116,1.4604339345572715e-06,65.89312530000097,0.9466987275824066,0.9467989179440938,0.01622975017620138,0.9466987275824066
97,0.0697162104074685,0.24544450498695644,8.224993973508341e-07,65.83925660000023,0.9463981564973449,0.9460975854122834,0.016197816488743515,0.9466987275824066
98,0.0713687151811033,0.24012310299108613,3.663153966039176e-07,65.83033020000039,0.9465985372207194,0.946899108305781,0.01624555572346353,0.9466987275824066
99,0.07174157037628147,0.23688287755790746,9.24377222516498e-08,65.91034070000023,0.9465985372207194,0.9464983468590321,0.01612048080431195,0.9466987275824066
100,0.06858121854516695,0.2499513069976051,1.2000520526038492e-09,65.73817450000024,0.9466987275824066,0.9466987275824066,0.016132676975805133,0.9466987275824066
