epoch,train_loss,train_grad_norm,lr,seconds,region_init_drift,region_adjust_norm,val_accuracy_ema,val_accuracy_raw,val_loss_ema,best_accuracy
1,0.27773579519874647,0.7437451940437533,1.9048916835743906e-05,55.99928419999196,0.0017093236092478037,0.4201961159706116,0.09357779781585011,0.10449854723975553,0.1552793958534424,0.09357779781585011
2,0.19050850878346642,1.078274147105667,3.950556694634746e-05,48.80623510002624,0.0037221782840788364,0.9908396005630493,0.3611862538823765,0.3739104298166516,0.1151809307872837,0.3611862538823765
3,0.16913430075600464,2.490484767859837,7.136721109059446e-05,48.692863100004615,0.00524789746850729,1.4799041152000427,0.6219817653541729,0.5904218014227032,0.08394025975696287,0.6219817653541729
4,0.1504814539428027,2.7214668982433823,0.00011151454260427857,48.78706550001516,0.006129823159426451,1.840095579624176,0.7523294259092276,0.7214707945095682,0.061738568182421426,0.7523294259092276
5,0.13700906466200666,2.431289426020856,0.0001560170725843859,48.971123099996476,0.006150934845209122,2.283976972103119,0.826069532111011,0.7918044284139866,0.04831413433102051,0.826069532111011
6,0.12771132629997325,2.0748414908715014,0.00020051793113077778,49.096583200007444,0.0060410937294363976,2.8548219799995422,0.8630397755735898,0.8302775273018735,0.04113139882616571,0.8630397755735898
7,0.12513505741672695,2.745458920991646,0.0002406604119793888,59.99662069999613,0.00980871170759201,3.6498162746429443,0.8790702334435427,0.8300771465784992,0.039001326221596105,0.8790702334435427
8,0.12246714314199844,2.4612121590128484,0.0002725145011151868,49.12155359997996,0.01312901172786951,4.126307725906372,0.8868850816551448,0.8402965634705941,0.03695631943633389,0.8868850816551448
9,0.11955535151486127,1.953433687821874,0.00029296163152155234,49.7371501000016,0.014040514826774597,4.546874046325684,0.9003105901212304,0.8620378719567178,0.03523797227142331,0.9003105901212304
10,0.11496332143275242,1.795824555585969,0.0002999999999479474,50.176541399996495,0.020476574078202248,4.9057899713516235,0.9110309588217613,0.8135457369001102,0.03315729890628946,0.9110309588217613
11,0.11254226268462415,1.6251768772557096,0.00029990848645494614,49.283838000003016,0.02486470155417919,5.175746500492096,0.9141368600340647,0.8719567177637512,0.03272778962478198,0.9141368600340647
12,0.11006262653841163,1.5262638188083217,0.0002996343332938392,49.550150099996245,0.027460899204015732,5.006848573684692,0.9168419997996192,0.8881875563570785,0.031897494416579776,0.9168419997996192
13,0.10693106562461493,1.4672318113974805,0.00029917787447802344,48.895836000010604,0.031778816133737564,5.757475018501282,0.9189459973950506,0.8962027852920549,0.03105463194846062,0.9189459973950506
14,0.10929510195300264,2.141330442091204,0.0002985396661322538,48.79184520000126,0.03474733978509903,6.147999167442322,0.9130347660555055,0.7715659753531711,0.0314114256002895,0.9189459973950506
15,0.1177123250770119,3.0652467554920126,0.000297720485815091,49.05336289998377,0.038824357092380524,6.72803521156311,0.8828774671876566,0.8648432020839595,0.0370475764044563,0.9189459973950506
16,0.1449332501247244,1.8064048618190693,0.0002967213315715667,48.75378939998336,0.04194207489490509,7.631870865821838,0.7756737801823465,0.7310890692315399,0.0519138433049639,0.9189459973950506
17,0.1307314449604952,1.426776595565508,0.0002955434207172185,48.775778099981835,0.04341578111052513,7.899065613746643,0.8399959923855325,0.7932070934776074,0.043045593868851866,0.9189459973950506
18,0.1223686100458199,1.4794811058044433,0.0002941881883549793,48.79593880000175,0.04858190566301346,8.308847904205322,0.8719567177637512,0.8330828574291154,0.038461237491168476,0.9189459973950506
19,0.1178761857916724,1.5010327034401443,0.0002926572856267249,48.716124200000195,0.05226951837539673,8.520775318145752,0.8871856527402064,0.8625388237651538,0.036314901807830195,0.9189459973950506
20,0.11342504317468068,1.4737279350127814,0.00029095257770161216,48.78124620000017,0.05710339918732643,8.932612657546997,0.8970043081855525,0.8663460575092676,0.03471608821561306,0.9189459973950506
21,0.11171179891757245,1.9968791640254686,0.00028907614150365773,48.721266199980164,0.06260931491851807,9.011927843093872,0.9028153491634104,0.8671475804027653,0.033701905222846086,0.9189459973950506
22,0.10995176306872997,1.5404230917624708,0.00028703026318132604,48.915438500000164,0.06715939939022064,9.119397401809692,0.9055204889289651,0.8805730888688508,0.03350413164767542,0.9189459973950506
23,0.10697001422351261,1.37088066002108,0.0002848174353222093,48.78560160001507,0.0719837099313736,9.7093825340271,0.914237050395752,0.893297264803126,0.03219046316893118,0.9189459973950506
24,0.10562411737891864,1.4948783551746945,0.00028244035391619405,55.922257700003684,0.0757824033498764,9.650209903717041,0.9155395250976857,0.8989079250576094,0.03187526991131215,0.9189459973950506
25,0.10377774143275224,1.4141478295596142,0.00027990191507081203,48.76273039999069,0.07680240273475647,9.686533212661743,0.9223524696924156,0.8995090672277327,0.0309178101783623,0.9223524696924156
26,0.10117581512568131,1.5645728380275223,0.00027720521148277984,55.84405349998269,0.08278379589319229,9.797301054000854,0.9228534215008516,0.9117322913535718,0.030240041102742626,0.9228534215008516
27,0.10017399735889344,1.449248354637398,0.00027435352867002423,49.61347049998585,0.08586802333593369,9.723330020904541,0.9245566576495341,0.9137360985873159,0.029624101548622585,0.9245566576495341
28,0.09836421731226849,1.6811330363435566,0.00027135034096878436,59.09338229999412,0.08649502694606781,10.020948886871338,0.9281635106702735,0.9198477106502354,0.029463274574603158,0.9281635106702735
29,0.09680652338941143,1.357860563431146,0.00026819930730066874,72.63096199999563,0.0857633575797081,9.74889087677002,0.9344755034565675,0.9224526600541028,0.02843040390080667,0.9344755034565675
30,0.09668721122280606,1.2824190651245837,0.0002649042667148223,72.38942250001128,0.08894229680299759,9.786381721496582,0.933774170924757,0.9217513275222924,0.028011541044927948,0.9344755034565675
31,0.09582774681302736,1.257052237335241,0.00026146923371063696,62.89013889999478,0.09192568808794022,10.247708320617676,0.935677787796814,0.9268610359683398,0.027722336961742682,0.935677787796814
32,0.09299827957490706,1.3251719520451888,0.00025789839334670184,72.48461300000781,0.09391732513904572,10.50521469116211,0.9378819757539325,0.9269612263300271,0.027268659785149536,0.9378819757539325
33,0.09261486750166371,1.2441274117973615,0.00025419609614195474,66.26580970000941,0.09964092075824738,10.727207660675049,0.9418895902214207,0.9313696022442641,0.026752586671801682,0.9418895902214207
34,0.09163500507766346,1.2208648138900973,0.0002503668527752445,74.62364939998952,0.10666017979383469,10.847550868988037,0.9385833082857429,0.9239555154794109,0.026535191202297165,0.9418895902214207
35,0.09323970291412102,1.2054912417677213,0.0002464153285897637,74.20234550000168,0.10595475137233734,10.87283182144165,0.9409878769662359,0.9338743612864443,0.026458915985516803,0.9418895902214207
36,0.09301579620197134,1.1780042469276573,0.00024234633790904664,54.86167670000577,0.10615117102861404,11.000270366668701,0.9433924456467288,0.931269411882577,0.025973868938609875,0.9433924456467288
37,0.09119364574270428,1.1617256182544635,0.00023816483817145785,68.21101599998656,0.10951611399650574,11.204477787017822,0.9420899709447951,0.9275623685001503,0.026012078225806725,0.9433924456467288
38,0.08928598259136362,1.677679769610459,0.00023387592389031699,65.98513369998545,0.11284224689006805,11.722430229187012,0.9414888287746719,0.933273219116321,0.025731761490911404,0.9433924456467288
39,0.08857050134325928,1.2206805667449843,0.0002294848204470189,71.67906049999874,0.11507634818553925,11.70697546005249,0.9425909227532311,0.9345756938182547,0.025436728750633138,0.9433924456467288
40,0.08880608482462055,1.1510078822779206,0.00022499687772471174,67.38867029998801,0.11688674986362457,11.803248882293701,0.9451958721570984,0.9352770263500652,0.024773969012389572,0.9451958721570984
41,0.08891718997707906,1.0867336650389545,0.00022041756359028803,63.24729989998741,0.12219466269016266,12.020256519317627,0.9466987275824066,0.9428914938382927,0.024533993050690442,0.9466987275824066
42,0.087125147583912,1.092675180243996,0.00021575245723263122,49.55311500001699,0.12298496067523956,12.36860466003418,0.9466987275824066,0.9365795010519988,0.0244290440837581,0.9466987275824066
43,0.08671670825976246,1.0782214915864872,0.00021100724236523366,49.49879169999622,0.12311194092035294,12.416411638259888,0.9466987275824066,0.9373810239454965,0.023946949171906196,0.9466987275824066
44,0.08617112459157998,1.1205625278432414,0.00020618770030146692,49.872860400006175,0.12360474467277527,12.203595161437988,0.9475002504759042,0.9451958721570984,0.02398796808659469,0.9475002504759042
45,0.08697802131608973,1.163014548837014,0.00020129970291094215,50.01482740000938,0.12504908442497253,12.48965072631836,0.9482015830077146,0.9404869251577999,0.02360403261180751,0.9482015830077146
46,0.08584778769398635,1.0911513661551027,0.00019634920546554143,50.19831099998555,0.12721982598304749,12.648142099380493,0.9493036769862739,0.935677787796814,0.023105273677347632,0.9493036769862739
47,0.08332224696593464,1.0575852174916358,0.00019134223938383627,49.74703870000667,0.1279832124710083,12.792845010757446,0.9491032962628995,0.943993587816852,0.02294389394411175,0.9493036769862739
48,0.08341189973759201,1.0074689034808357,0.00018628490488273333,49.68710420001298,0.1301402896642685,12.858878135681152,0.9512072938583308,0.9399859733493638,0.022270270173234758,0.9512072938583308
49,0.08370441523644159,1.0993004316766306,0.0001811833635452994,49.769081600010395,0.13200794160366058,12.947983741760254,0.94980462879471,0.9436930167317904,0.022287209547273073,0.9512072938583308
50,0.0836166991124738,1.0585546953610654,0.0001760438308138221,63.29718399999547,0.134317085146904,12.844437599182129,0.951307484220018,0.9455966336038473,0.021886780184718176,0.951307484220018
51,0.08192218046424524,1.0321067848745382,0.00017087256841725033,49.925364299997455,0.1372845470905304,13.046334743499756,0.9509067227732693,0.9418895902214207,0.021770859983868285,0.951307484220018
52,0.0827874095513011,1.1636249247924337,0.0001656758767422424,49.771470600011526,0.1372261941432953,13.007607221603394,0.9518084360284541,0.943993587816852,0.021844304746839665,0.9518084360284541
53,0.08196854933534028,1.0438045118439871,0.00016046008715711528,49.63579790000222,0.1372508406639099,12.994336128234863,0.9509067227732693,0.9464983468590321,0.021056798722398278,0.9518084360284541
54,0.0827300131292838,1.0063235417851861,0.00015523155429804773,63.84954090000247,0.13937537372112274,13.168035984039307,0.950806532411582,0.9467989179440938,0.021129417080607973,0.9518084360284541
55,0.07983987690283442,0.987633134329094,0.00014999664832693479,73.32414159999462,0.13922792673110962,13.074431419372559,0.9512072938583308,0.950305580603146,0.020358974840195287,0.9518084360284541
56,0.08000106456004223,0.9519341935076804,0.0001447617471703267,72.37511749999248,0.1403193175792694,13.114580631256104,0.9525097685602645,0.9484019637310891,0.020326017064052,0.9525097685602645
57,0.07921001695377647,0.9754110563701054,0.00013953322874890822,67.77246619999642,0.14042523503303528,13.349242687225342,0.9540126239855726,0.9472998697525298,0.02029118265901774,0.9540126239855726
58,0.07992674808176059,0.9947931690036126,0.00013431746320698425,62.068533800018486,0.14418815076351166,13.46618938446045,0.9516080553050796,0.946899108305781,0.02028530763977068,0.9540126239855726
59,0.08036820602023377,0.9554457025258046,0.00012912080515144048,70.56108939999831,0.1425132155418396,13.49940013885498,0.9529105300070133,0.9493036769862739,0.019685946098692002,0.9540126239855726
60,0.0792675836595162,0.9780152411056015,0.0001239495859096339,76.39181549998466,0.14297443628311157,13.352969646453857,0.9529105300070133,0.9479010119226531,0.019746627585077652,0.9540126239855726
61,0.07892683726998995,0.9578750526455213,0.0001188101058156453,72.94508710000082,0.14226281642913818,13.369414806365967,0.9528103396453261,0.9509067227732693,0.019282671844915365,0.9540126239855726
62,0.07862166298869645,1.007238618956422,0.00011370862653429305,74.13846389998798,0.14319166541099548,13.417234897613525,0.9524095781985773,0.9485021540927763,0.019137244727009044,0.9540126239855726
63,0.07653806365885825,1.0467048248142565,0.00010865136343225879,71.80964799999492,0.1435697376728058,13.338594436645508,0.9534114818154493,0.9499048191563971,0.01903093692022393,0.9540126239855726
64,0.076791306710187,0.9654643719151335,0.00010364447800562071,76.19441190001089,0.1439899206161499,13.417649269104004,0.953712052900511,0.9495040577096483,0.018510283688795242,0.9540126239855726
65,0.07807649242849844,0.9521890994287887,9.869407037301955e-05,68.83606370000052,0.14381398260593414,13.525064468383789,0.9519086263901413,0.9489029155395251,0.018381563858893755,0.9540126239855726
66,0.07631170474414556,0.9717890382375357,9.38061718436039e-05,70.13548580001225,0.1439138948917389,13.41882848739624,0.9536118625388238,0.9487025348161506,0.01828227775674711,0.9540126239855726
67,0.07575901604907692,0.9831253243729753,8.898673756880873e-05,71.48531720001483,0.14327259361743927,13.416372776031494,0.9534114818154493,0.9525097685602645,0.018213539857758112,0.9540126239855726
68,0.07715147771503565,1.1144129935300575,8.424163928692091e-05,69.80600019998383,0.14397168159484863,13.536736488342285,0.9519086263901413,0.9514076745817053,0.01828485502844738,0.9540126239855726
69,0.07677242336548724,0.9331893408073569,7.957665816927059e-05,71.17174669998349,0.1437951922416687,13.393222332000732,0.9534114818154493,0.9517082456667668,0.017934001460238467,0.9540126239855726
70,0.07592258020673158,0.9168464882418794,7.499747777676437e-05,66.05100150001817,0.14365318417549133,13.2782883644104,0.9538122432621982,0.9535116721771365,0.01787325061145562,0.9540126239855726
71,0.07676945825792708,0.8840821424407779,7.050967713534188e-05,66.69525989997783,0.14348097145557404,13.41620397567749,0.9529105300070133,0.9509067227732693,0.018101934034721837,0.9540126239855726
72,0.07671488949290986,0.9130415515967135,6.611872393879199e-05,86.29351680001128,0.14342741668224335,13.386208057403564,0.9531109107303878,0.9528103396453261,0.017507617731629316,0.9540126239855726
73,0.07471571121997428,1.09049617360223,6.182996788721018e-05,59.90988780002226,0.14392916858196259,13.374179363250732,0.9507063420498948,0.9496042480713356,0.017965003109437504,0.9540126239855726
74,0.07411950878096077,0.8985881809918386,5.764863416921309e-05,48.71145119998255,0.14381319284439087,13.485142707824707,0.9545135757940086,0.9515078649433925,0.017254365570958923,0.9545135757940086
75,0.07505241599566531,0.862393020380218,5.357981709585108e-05,48.88738660002127,0.14419928193092346,13.341424465179443,0.9544133854323215,0.9509067227732693,0.01721733313445,0.9545135757940086
76,0.07377165360411383,1.3307248046150748,4.962847389397466e-05,48.85674330001348,0.14452573657035828,13.337959289550781,0.9534114818154493,0.9533112914537621,0.01714029803001717,0.9545135757940086
