epoch,train_loss,train_grad_norm,lr,seconds,region_init_drift,region_adjust_norm,val_accuracy_ema,val_accuracy_raw,val_loss_ema,best_accuracy
1,0.28099204742683553,0.385056963394273,1.9048916835743906e-05,65.62407959997654,0.0018021853175014257,0.5759671926498413,0.05259993988578299,0.06973249173429516,0.15641508495003842,0.05259993988578299
2,0.19411851113697268,0.36968908499996617,3.950556694634746e-05,58.38588140002685,0.004445179831236601,1.5864344239234924,0.29676385131750327,0.31259392846408174,0.12079327301873484,0.29676385131750327
3,0.1730647845313234,1.1678279936988398,7.136721109059446e-05,58.48875750001753,0.006102573126554489,2.3337883949279785,0.5726881074040677,0.5343151988778679,0.08852364233495381,0.5726881074040677
4,0.14994035773119838,1.5303538660283358,0.00011151454260427857,58.229196599975694,0.008151219226419926,3.0030952095985413,0.7625488428013225,0.7352970644224026,0.06051541668623343,0.7625488428013225
5,0.13562647502377348,1.7711619859371546,0.0001560170725843859,58.53989569999976,0.011639231815934181,3.7131394147872925,0.8325819056206792,0.7948101392646028,0.04723630314951322,0.8325819056206792
6,0.12530993067993307,1.5283592820167542,0.00020051793113077778,58.65973659994779,0.014816513285040855,4.266801834106445,0.8799719466987276,0.848011221320509,0.0388553494399242,0.8799719466987276
7,0.11688530158884121,1.3673947474191774,0.0002406604119793888,58.29827160004061,0.018500037491321564,4.641304612159729,0.9075242961627091,0.876765855124737,0.03399144190342778,0.9075242961627091
8,0.11022151007967175,1.2520705216335801,0.0002725145011151868,58.499100899964105,0.022291243076324463,5.176219940185547,0.9222522793307284,0.891894599739505,0.031148394952510358,0.9222522793307284
9,0.10616587062489312,1.1364923248875816,0.00029296163152155234,58.61626110004727,0.027948301285505295,5.531480431556702,0.9289650335637711,0.9151387636509368,0.029833032542539377,0.9289650335637711
10,0.10179224684553326,1.0902716497205338,0.0002999999999479474,58.99583709996659,0.02572876587510109,5.6876620054244995,0.9367798817753732,0.9144374311191263,0.028531831479699014,0.9367798817753732
11,0.10002295994252529,1.0645249601804985,0.00029990848645494614,58.54033679998247,0.03152507543563843,5.903781414031982,0.9389840697324917,0.9227532311391644,0.027804279361954433,0.9389840697324917
12,0.09663887322792467,1.020066347302131,0.0002996343332938392,58.879932400013786,0.03317750245332718,5.824124693870544,0.9451958721570984,0.932271315499449,0.02716922273885695,0.9451958721570984
13,0.09433982044739543,1.0313961778496796,0.00029917787447802344,58.76005240000086,0.038260847330093384,6.120402574539185,0.9467989179440938,0.9346758841799419,0.026750291881967304,0.9467989179440938
14,0.09282583161626222,1.0048293046456462,0.0002985396661322538,58.78305920003913,0.04028533399105072,6.29270339012146,0.9472998697525298,0.9382827372006813,0.02624864932386655,0.9472998697525298
15,0.09131146708187067,1.1714157133057432,0.000297720485815091,58.723507400020026,0.04167596250772476,6.740808725357056,0.9493036769862739,0.9385833082857429,0.025788206346769715,0.9493036769862739
16,0.09066985878460812,1.0227923151007239,0.0002967213315715667,58.60214380000252,0.04356047511100769,6.72594153881073,0.9483017733694019,0.9417893998597335,0.02554485078069851,0.9493036769862739
17,0.08962954525958818,0.9391050166453956,0.0002955434207172185,58.46834449999733,0.04726431146264076,6.787845849990845,0.9510069131349564,0.9413886384129847,0.025211776829655072,0.9510069131349564
18,0.08807011207038501,0.9466160484080045,0.0002941881883549793,58.48923459998332,0.051831699907779694,7.15430760383606,0.9497044384330228,0.937180643222122,0.024749408671911406,0.9510069131349564
19,0.08807151329123748,0.8692216601011888,0.0002926572856267249,58.485510399972554,0.05205288901925087,7.123867988586426,0.9519086263901413,0.9425909227532311,0.02424863264261004,0.9519086263901413
20,0.08560942665304777,0.8875483816299798,0.00029095257770161216,58.79960000002757,0.05402274429798126,7.329479694366455,0.954213004708947,0.9435928263701032,0.023757515787181042,0.954213004708947
